"","control","treatment","variance","levels","groups","sampled_numbers","repeats","diff","label"
"66",3.5,2,2.4,5,2,6,100,1.5,"rand"
"67",3.25,1,3.9,5,2,6,100,2.25,"rand"
"68",3.5,2,2,5,2,6,100,1.5,"rand"
"69",2.75,3.5,1.6,5,2,6,100,0.75,"rand"
"70",3,1,2.26666666666667,5,2,6,100,2,"rand"
"71",3.25,4,1.1,5,2,6,100,0.75,"rand"
"72",3.25,2.5,2.8,5,2,6,100,0.75,"rand"
"73",2.25,4,2.16666666666667,5,2,6,100,1.75,"rand"
"74",2.5,1,1.6,5,2,6,100,1.5,"rand"
"75",3,4,2.26666666666667,5,2,6,100,1,"rand"
"76",2,3.5,1.9,5,2,6,100,1.5,"rand"
"77",3,3.5,3.36666666666667,5,2,6,100,0.5,"rand"
"78",2.5,2.5,1.1,5,2,6,100,0,"rand"
"79",2.75,4.5,2.66666666666667,5,2,6,100,1.75,"rand"
"80",2.75,3.5,1.6,5,2,6,100,0.75,"rand"
"81",3.25,3,2.96666666666667,5,2,6,100,0.25,"rand"
"82",3.5,2.5,3.36666666666667,5,2,6,100,1,"rand"
"83",2.75,2.5,2.66666666666667,5,2,6,100,0.25,"rand"
"84",2.5,2.5,1.5,5,2,6,100,0,"rand"
"85",3.25,1.5,1.86666666666667,5,2,6,100,1.75,"rand"
"86",3.5,1,2.66666666666667,5,2,6,100,2.5,"rand"
"87",2.75,3,2.16666666666667,5,2,6,100,0.25,"rand"
"88",3.5,1,2.66666666666667,5,2,6,100,2.5,"rand"
"89",4.25,3.5,1.6,5,2,6,100,0.75,"rand"
"90",2.75,3,2.16666666666667,5,2,6,100,0.25,"rand"
"91",4,3,3.06666666666667,5,2,6,100,1,"rand"
"92",2.5,3.5,2.96666666666667,5,2,6,100,1,"rand"
"93",3.25,4,0.7,5,2,6,100,0.75,"rand"
"94",3.25,1.5,2.66666666666667,5,2,6,100,1.75,"rand"
"95",3.5,4.5,1.36666666666667,5,2,6,100,1,"rand"
"96",3.5,4.5,0.966666666666667,5,2,6,100,1,"rand"
"97",3.5,3,2.26666666666667,5,2,6,100,0.5,"rand"
"98",3.25,3,2.96666666666667,5,2,6,100,0.25,"rand"
"99",3.5,2,3.2,5,2,6,100,1.5,"rand"
"100",2.75,3,3.36666666666667,5,2,6,100,0.25,"rand"
"101",3.57142857142857,3.42857142857143,1.5,5,2,14,100,0.142857142857143,"rand"
"102",2.57142857142857,4.28571428571429,2.10989010989011,5,2,14,100,1.71428571428571,"rand"
"103",3.42857142857143,2.14285714285714,2.02747252747253,5,2,14,100,1.28571428571429,"rand"
"104",1.71428571428571,3,1.47802197802198,5,2,14,100,1.28571428571429,"rand"
"105",3.42857142857143,3.14285714285714,2.21978021978022,5,2,14,100,0.285714285714286,"rand"
"106",3.14285714285714,2.57142857142857,1.36263736263736,5,2,14,100,0.571428571428571,"rand"
"107",3.14285714285714,2.42857142857143,2.7967032967033,5,2,14,100,0.714285714285714,"rand"
"108",3,3.71428571428571,1.63186813186813,5,2,14,100,0.714285714285714,"rand"
"109",3.28571428571429,2.71428571428571,2,5,2,14,100,0.571428571428571,"rand"
"110",2.42857142857143,4.42857142857143,2.10989010989011,5,2,14,100,2,"rand"
"111",2.28571428571429,2.71428571428571,1.80769230769231,5,2,14,100,0.428571428571429,"rand"
"112",2.42857142857143,2.57142857142857,0.730769230769231,5,2,14,100,0.142857142857143,"rand"
"113",2.71428571428571,4,1.63186813186813,5,2,14,100,1.28571428571429,"rand"
"114",2.71428571428571,4.14285714285714,1.49450549450549,5,2,14,100,1.42857142857143,"rand"
"115",2.42857142857143,3.14285714285714,1.87362637362637,5,2,14,100,0.714285714285714,"rand"
"116",3,3.57142857142857,1.75824175824176,5,2,14,100,0.571428571428572,"rand"
"117",3,2.57142857142857,1.87362637362637,5,2,14,100,0.428571428571428,"rand"
"118",2.57142857142857,3.71428571428571,2.13186813186813,5,2,14,100,1.14285714285714,"rand"
"119",3,4,1.5,5,2,14,100,1,"rand"
"120",3,2.28571428571429,2.4010989010989,5,2,14,100,0.714285714285714,"rand"
"121",2.28571428571429,1.85714285714286,1.76373626373626,5,2,14,100,0.428571428571428,"rand"
"122",3,3,2.61538461538462,5,2,14,100,0,"rand"
"123",3.14285714285714,3.14285714285714,1.97802197802198,5,2,14,100,0,"rand"
"124",2.71428571428571,3,2.59340659340659,5,2,14,100,0.285714285714286,"rand"
"125",3.85714285714286,2.42857142857143,1.51648351648352,5,2,14,100,1.42857142857143,"rand"
"126",2.57142857142857,3.42857142857143,2.76923076923077,5,2,14,100,0.857142857142857,"rand"
"127",2.57142857142857,3.28571428571429,1.60989010989011,5,2,14,100,0.714285714285714,"rand"
"128",2.71428571428571,3.14285714285714,2.07142857142857,5,2,14,100,0.428571428571428,"rand"
"129",3,2.57142857142857,2.48901098901099,5,2,14,100,0.428571428571428,"rand"
"130",2.28571428571429,3,1.93956043956044,5,2,14,100,0.714285714285714,"rand"
"131",3.28571428571429,3.28571428571429,1.91208791208791,5,2,14,100,0,"rand"
"132",2.28571428571429,2.85714285714286,2.10989010989011,5,2,14,100,0.571428571428572,"rand"
"133",3,2.71428571428571,2.28571428571429,5,2,14,100,0.285714285714286,"rand"
"134",2.14285714285714,3.85714285714286,1.69230769230769,5,2,14,100,1.71428571428571,"rand"
"135",3.28571428571429,2.85714285714286,2.37912087912088,5,2,14,100,0.428571428571428,"rand"
"136",2.71428571428571,2.57142857142857,2.24725274725275,5,2,14,100,0.142857142857143,"rand"
"137",3.28571428571429,2.28571428571429,1.87362637362637,5,2,14,100,1,"rand"
"138",3,3,2.61538461538462,5,2,14,100,0,"rand"
"139",3.57142857142857,3.14285714285714,2.4010989010989,5,2,14,100,0.428571428571429,"rand"
"140",2.71428571428571,3.28571428571429,1.84615384615385,5,2,14,100,0.571428571428571,"rand"
"141",3.14285714285714,3.85714285714286,1.65384615384615,5,2,14,100,0.714285714285714,"rand"
"142",3.57142857142857,3.28571428571429,2.26373626373626,5,2,14,100,0.285714285714286,"rand"
"143",3.42857142857143,2.42857142857143,2.68681318681319,5,2,14,100,1,"rand"
"144",2.71428571428571,2.71428571428571,2.52747252747253,5,2,14,100,0,"rand"
"145",3.28571428571429,3.14285714285714,2.64285714285714,5,2,14,100,0.142857142857143,"rand"
"146",3.42857142857143,3.71428571428571,1.64835164835165,5,2,14,100,0.285714285714286,"rand"
"147",2.28571428571429,4.28571428571429,2.21978021978022,5,2,14,100,2,"rand"
"148",3.42857142857143,2,2.68131868131868,5,2,14,100,1.42857142857143,"rand"
"149",3,3.85714285714286,1.64835164835165,5,2,14,100,0.857142857142857,"rand"
"150",2,2.28571428571429,1.05494505494505,5,2,14,100,0.285714285714286,"rand"
"151",2.85714285714286,3.28571428571429,1.76373626373626,5,2,14,100,0.428571428571428,"rand"
"152",2.85714285714286,3.71428571428571,2.21978021978022,5,2,14,100,0.857142857142857,"rand"
"153",3.28571428571429,3,3.05494505494505,5,2,14,100,0.285714285714286,"rand"
"154",2.57142857142857,2.42857142857143,1.65384615384615,5,2,14,100,0.142857142857143,"rand"
"155",3,2.42857142857143,1.45054945054945,5,2,14,100,0.571428571428572,"rand"
"156",4,2.85714285714286,2.41758241758242,5,2,14,100,1.14285714285714,"rand"
"157",2.42857142857143,3.57142857142857,2.15384615384615,5,2,14,100,1.14285714285714,"rand"
"158",2.42857142857143,2.85714285714286,1.63186813186813,5,2,14,100,0.428571428571429,"rand"
"159",2.71428571428571,3.14285714285714,2.07142857142857,5,2,14,100,0.428571428571428,"rand"
"160",2.28571428571429,3.42857142857143,1.51648351648352,5,2,14,100,1.14285714285714,"rand"
"161",3.28571428571429,2.85714285714286,2.37912087912088,5,2,14,100,0.428571428571428,"rand"
"162",2.57142857142857,2.71428571428571,2.24725274725275,5,2,14,100,0.142857142857143,"rand"
"163",2.57142857142857,3.71428571428571,2.43956043956044,5,2,14,100,1.14285714285714,"rand"
"164",3.42857142857143,3.14285714285714,1.45054945054945,5,2,14,100,0.285714285714286,"rand"
"165",2.57142857142857,4,2.37362637362637,5,2,14,100,1.42857142857143,"rand"
"166",2.71428571428571,3,2.43956043956044,5,2,14,100,0.285714285714286,"rand"
"167",3.28571428571429,3.28571428571429,1.91208791208791,5,2,14,100,0,"rand"
"168",2.85714285714286,2.14285714285714,1.80769230769231,5,2,14,100,0.714285714285714,"rand"
"169",3.28571428571429,2.85714285714286,2.07142857142857,5,2,14,100,0.428571428571428,"rand"
"170",2.85714285714286,2.85714285714286,1.97802197802198,5,2,14,100,0,"rand"
"171",3.57142857142857,2.14285714285714,2.13186813186813,5,2,14,100,1.42857142857143,"rand"
"172",3,3.28571428571429,1.97802197802198,5,2,14,100,0.285714285714286,"rand"
"173",2.42857142857143,2.85714285714286,1.17032967032967,5,2,14,100,0.428571428571429,"rand"
"174",2.85714285714286,2.71428571428571,0.950549450549451,5,2,14,100,0.142857142857143,"rand"
"175",3.14285714285714,2.71428571428571,2.07142857142857,5,2,14,100,0.428571428571428,"rand"
"176",3.42857142857143,2.71428571428571,1.60989010989011,5,2,14,100,0.714285714285714,"rand"
"177",2.85714285714286,3.85714285714286,2.4010989010989,5,2,14,100,1,"rand"
"178",1.71428571428571,3.28571428571429,1.96153846153846,5,2,14,100,1.57142857142857,"rand"
"179",3.28571428571429,3.14285714285714,2.33516483516484,5,2,14,100,0.142857142857143,"rand"
"180",3.28571428571429,3.14285714285714,1.87362637362637,5,2,14,100,0.142857142857143,"rand"
"181",2,3.42857142857143,2.06593406593407,5,2,14,100,1.42857142857143,"rand"
"182",2.85714285714286,3.42857142857143,1.51648351648352,5,2,14,100,0.571428571428571,"rand"
"183",2.57142857142857,3.14285714285714,1.97802197802198,5,2,14,100,0.571428571428571,"rand"
"184",2.42857142857143,3.14285714285714,1.87362637362637,5,2,14,100,0.714285714285714,"rand"
"185",2.71428571428571,3.14285714285714,1.91758241758242,5,2,14,100,0.428571428571428,"rand"
"186",3,3.14285714285714,2.68681318681319,5,2,14,100,0.142857142857143,"rand"
"187",3,3.14285714285714,2.37912087912088,5,2,14,100,0.142857142857143,"rand"
"188",2.42857142857143,3.14285714285714,2.64285714285714,5,2,14,100,0.714285714285714,"rand"
"189",1.71428571428571,3.57142857142857,1.93956043956044,5,2,14,100,1.85714285714286,"rand"
"190",2.57142857142857,2.85714285714286,2.52747252747253,5,2,14,100,0.285714285714286,"rand"
"191",2.28571428571429,3.28571428571429,2.48901098901099,5,2,14,100,1,"rand"
"192",3.57142857142857,3.14285714285714,1.17032967032967,5,2,14,100,0.428571428571429,"rand"
"193",3.14285714285714,3.14285714285714,1.67032967032967,5,2,14,100,0,"rand"
"194",2.71428571428571,2.71428571428571,2.21978021978022,5,2,14,100,0,"rand"
"195",3.42857142857143,2.57142857142857,2,5,2,14,100,0.857142857142857,"rand"
"196",3.14285714285714,2.71428571428571,1.14835164835165,5,2,14,100,0.428571428571428,"rand"
"197",3.42857142857143,1.57142857142857,2.42307692307692,5,2,14,100,1.85714285714286,"rand"
"198",2.42857142857143,2,1.56593406593407,5,2,14,100,0.428571428571428,"rand"
"199",3.14285714285714,3.28571428571429,2.48901098901099,5,2,14,100,0.142857142857143,"rand"
"200",2.85714285714286,3.14285714285714,2,5,2,14,100,0.285714285714286,"rand"
"201",4.09090909090909,2.63636363636364,2.05194805194805,5,2,22,100,1.45454545454545,"rand"
"202",2.90909090909091,3.18181818181818,1.66450216450216,5,2,22,100,0.272727272727272,"rand"
"203",2.54545454545455,2.63636363636364,1.96753246753247,5,2,22,100,0.0909090909090908,"rand"
"204",3,3.45454545454545,1.8030303030303,5,2,22,100,0.454545454545455,"rand"
"205",2.90909090909091,3,2.04545454545455,5,2,22,100,0.0909090909090908,"rand"
"206",3.36363636363636,2.54545454545455,2.33116883116883,5,2,22,100,0.818181818181818,"rand"
"207",3,3.09090909090909,1.85497835497835,5,2,22,100,0.0909090909090908,"rand"
"208",2.90909090909091,2.72727272727273,1.2034632034632,5,2,22,100,0.181818181818182,"rand"
"209",3.63636363636364,3.18181818181818,1.3961038961039,5,2,22,100,0.454545454545455,"rand"
"210",3,2.72727272727273,1.93290043290043,5,2,22,100,0.272727272727273,"rand"
"211",2.90909090909091,3.18181818181818,1.95021645021645,5,2,22,100,0.272727272727272,"rand"
"212",3.45454545454545,3.27272727272727,1.86147186147186,5,2,22,100,0.181818181818182,"rand"
"213",2.90909090909091,2.09090909090909,1.88095238095238,5,2,22,100,0.818181818181818,"rand"
"214",2.81818181818182,2.54545454545455,2.60822510822511,5,2,22,100,0.272727272727273,"rand"
"215",2.54545454545455,3.27272727272727,2.46753246753247,5,2,22,100,0.727272727272728,"rand"
"216",3.27272727272727,3.09090909090909,1.67965367965368,5,2,22,100,0.181818181818182,"rand"
"217",3.09090909090909,2.63636363636364,2.02813852813853,5,2,22,100,0.454545454545455,"rand"
"218",2.63636363636364,3.36363636363636,1.9047619047619,5,2,22,100,0.727272727272728,"rand"
"219",3.72727272727273,1.81818181818182,2.27922077922078,5,2,22,100,1.90909090909091,"rand"
"220",3.09090909090909,2.54545454545455,2.06060606060606,5,2,22,100,0.545454545454545,"rand"
"221",3.27272727272727,2.54545454545455,2.18181818181818,5,2,22,100,0.727272727272728,"rand"
"222",2.81818181818182,3.18181818181818,1.71428571428571,5,2,22,100,0.363636363636363,"rand"
"223",2.63636363636364,2.72727272727273,2.41774891774892,5,2,22,100,0.0909090909090908,"rand"
"224",3,2.63636363636364,2.06060606060606,5,2,22,100,0.363636363636364,"rand"
"225",3.45454545454545,3.45454545454545,2.45021645021645,5,2,22,100,0,"rand"
"226",3.09090909090909,3.45454545454545,1.63636363636364,5,2,22,100,0.363636363636364,"rand"
"227",3.72727272727273,2.81818181818182,2.20779220779221,5,2,22,100,0.909090909090909,"rand"
"228",2.90909090909091,2.63636363636364,2.46969696969697,5,2,22,100,0.272727272727273,"rand"
"229",3,3.63636363636364,2.32251082251082,5,2,22,100,0.636363636363636,"rand"
"230",3,3.63636363636364,1.84632034632035,5,2,22,100,0.636363636363636,"rand"
"231",2.81818181818182,2.90909090909091,2.21861471861472,5,2,22,100,0.0909090909090908,"rand"
"232",2.54545454545455,3,2.27922077922078,5,2,22,100,0.454545454545455,"rand"
"233",2.63636363636364,3.45454545454545,1.66450216450216,5,2,22,100,0.818181818181818,"rand"
"234",2.45454545454545,3.63636363636364,2.61688311688312,5,2,22,100,1.18181818181818,"rand"
"235",2.72727272727273,2.63636363636364,1.56060606060606,5,2,22,100,0.0909090909090908,"rand"
"236",3.18181818181818,3.54545454545455,2.33766233766234,5,2,22,100,0.363636363636364,"rand"
"237",2.63636363636364,2.81818181818182,1.73160173160173,5,2,22,100,0.181818181818182,"rand"
"238",3.09090909090909,2.63636363636364,1.64718614718615,5,2,22,100,0.454545454545455,"rand"
"239",3.36363636363636,2.63636363636364,2.19047619047619,5,2,22,100,0.727272727272728,"rand"
"240",2.90909090909091,2.81818181818182,2.21861471861472,5,2,22,100,0.0909090909090908,"rand"
"241",3.09090909090909,3.09090909090909,1.99134199134199,5,2,22,100,0,"rand"
"242",3,3.36363636363636,2.34632034632035,5,2,22,100,0.363636363636364,"rand"
"243",3.18181818181818,2.90909090909091,2.23593073593074,5,2,22,100,0.272727272727272,"rand"
"244",3.45454545454545,2.09090909090909,1.70779220779221,5,2,22,100,1.36363636363636,"rand"
"245",2.63636363636364,3.45454545454545,2.14069264069264,5,2,22,100,0.818181818181818,"rand"
"246",2.90909090909091,2.72727272727273,1.67965367965368,5,2,22,100,0.181818181818182,"rand"
"247",3.18181818181818,2.27272727272727,1.06493506493506,5,2,22,100,0.909090909090909,"rand"
"248",3.09090909090909,3.27272727272727,1.77489177489177,5,2,22,100,0.181818181818182,"rand"
"249",3.72727272727273,2.45454545454545,2.08658008658009,5,2,22,100,1.27272727272727,"rand"
"250",2.72727272727273,2.45454545454545,2.15800865800866,5,2,22,100,0.272727272727272,"rand"
"251",2.90909090909091,3.54545454545455,1.8982683982684,5,2,22,100,0.636363636363636,"rand"
"252",3,3,1.9047619047619,5,2,22,100,0,"rand"
"253",2.90909090909091,2.54545454545455,1.73160173160173,5,2,22,100,0.363636363636364,"rand"
"254",3,3,1.9047619047619,5,2,22,100,0,"rand"
"255",3.18181818181818,2.90909090909091,2.33116883116883,5,2,22,100,0.272727272727272,"rand"
"256",2.45454545454545,3.45454545454545,2.52164502164502,5,2,22,100,1,"rand"
"257",2.54545454545455,2.72727272727273,1.95670995670996,5,2,22,100,0.181818181818182,"rand"
"258",3.36363636363636,2.45454545454545,2.56277056277056,5,2,22,100,0.909090909090909,"rand"
"259",2.72727272727273,3.72727272727273,1.23160173160173,5,2,22,100,1,"rand"
"260",2.72727272727273,2.72727272727273,2.01731601731602,5,2,22,100,0,"rand"
"261",3.09090909090909,3.18181818181818,1.55194805194805,5,2,22,100,0.0909090909090908,"rand"
"262",2.63636363636364,2.54545454545455,2.06277056277056,5,2,22,100,0.0909090909090908,"rand"
"263",3.09090909090909,2.18181818181818,2.33766233766234,5,2,22,100,0.909090909090909,"rand"
"264",2.90909090909091,2.90909090909091,1.8008658008658,5,2,22,100,0,"rand"
"265",3.81818181818182,2.72727272727273,2.11255411255411,5,2,22,100,1.09090909090909,"rand"
"266",2.63636363636364,3.63636363636364,1.64718614718615,5,2,22,100,1,"rand"
"267",3.18181818181818,3,2.46753246753247,5,2,22,100,0.181818181818182,"rand"
"268",3.90909090909091,3.27272727272727,2.34848484848485,5,2,22,100,0.636363636363636,"rand"
"269",3.36363636363636,3.18181818181818,1.35064935064935,5,2,22,100,0.181818181818182,"rand"
"270",3.45454545454545,2.45454545454545,1.75974025974026,5,2,22,100,1,"rand"
"271",3.45454545454545,2.27272727272727,1.74242424242424,5,2,22,100,1.18181818181818,"rand"
"272",1.81818181818182,3,2.25324675324675,5,2,22,100,1.18181818181818,"rand"
"273",3.09090909090909,3,2.04545454545455,5,2,22,100,0.0909090909090908,"rand"
"274",2.72727272727273,3.18181818181818,2.04545454545455,5,2,22,100,0.454545454545455,"rand"
"275",3.18181818181818,3.72727272727273,2.25974025974026,5,2,22,100,0.545454545454545,"rand"
"276",3,2.72727272727273,1.83766233766234,5,2,22,100,0.272727272727273,"rand"
"277",2.90909090909091,3,1.66450216450216,5,2,22,100,0.0909090909090908,"rand"
"278",3.45454545454545,3.27272727272727,2.62337662337662,5,2,22,100,0.181818181818182,"rand"
"279",2.54545454545455,3.63636363636364,2.37229437229437,5,2,22,100,1.09090909090909,"rand"
"280",3.90909090909091,3.36363636363636,2.43290043290043,5,2,22,100,0.545454545454545,"rand"
"281",3.09090909090909,2.81818181818182,1.85497835497835,5,2,22,100,0.272727272727272,"rand"
"282",3,3.18181818181818,2.18181818181818,5,2,22,100,0.181818181818182,"rand"
"283",3.45454545454545,3.27272727272727,1.67099567099567,5,2,22,100,0.181818181818182,"rand"
"284",3.63636363636364,2.63636363636364,1.83766233766234,5,2,22,100,1,"rand"
"285",3.63636363636364,3.18181818181818,1.68181818181818,5,2,22,100,0.454545454545455,"rand"
"286",2.72727272727273,2.81818181818182,2.18398268398268,5,2,22,100,0.0909090909090913,"rand"
"287",2.63636363636364,3.54545454545455,1.51515151515152,5,2,22,100,0.909090909090909,"rand"
"288",3,2.27272727272727,2.14718614718615,5,2,22,100,0.727272727272727,"rand"
"289",2.90909090909091,2.81818181818182,1.83766233766234,5,2,22,100,0.0909090909090908,"rand"
"290",2.90909090909091,2.45454545454545,2.03679653679654,5,2,22,100,0.454545454545455,"rand"
"291",2.81818181818182,2.36363636363636,1.87229437229437,5,2,22,100,0.454545454545455,"rand"
"292",2.81818181818182,2.72727272727273,2.18398268398268,5,2,22,100,0.0909090909090913,"rand"
"293",3.36363636363636,3.18181818181818,1.63636363636364,5,2,22,100,0.181818181818182,"rand"
"294",3.27272727272727,2.45454545454545,2.79004329004329,5,2,22,100,0.818181818181818,"rand"
"295",3.45454545454545,3.09090909090909,2.11255411255411,5,2,22,100,0.363636363636364,"rand"
"296",3.18181818181818,2.63636363636364,2.18181818181818,5,2,22,100,0.545454545454545,"rand"
"297",2.81818181818182,3,2.27705627705628,5,2,22,100,0.181818181818182,"rand"
"298",2.63636363636364,2.90909090909091,1.99350649350649,5,2,22,100,0.272727272727273,"rand"
"299",2.90909090909091,3.36363636363636,2.31385281385281,5,2,22,100,0.454545454545455,"rand"
"300",3.27272727272727,3.27272727272727,2.11255411255411,5,2,22,100,0,"rand"
"301",3.53846153846154,3.17647058823529,1.88505747126437,5,2,30,100,0.361990950226244,"rand"
"302",2.69230769230769,2.70588235294118,1.87241379310345,5,2,30,100,0.0135746606334841,"rand"
"303",3.15384615384615,3.11764705882353,1.9816091954023,5,2,30,100,0.0361990950226243,"rand"
"304",2.92307692307692,3.11764705882353,1.96436781609195,5,2,30,100,0.194570135746607,"rand"
"305",2.53846153846154,3.23529411764706,2.06436781609195,5,2,30,100,0.696832579185521,"rand"
"306",3,2.82352941176471,1.26551724137931,5,2,30,100,0.176470588235294,"rand"
"307",3.38461538461538,2.94117647058824,1.77471264367816,5,2,30,100,0.443438914027149,"rand"
"308",2.53846153846154,3.41176470588235,1.96436781609195,5,2,30,100,0.873303167420814,"rand"
"309",3.30769230769231,3.05882352941176,1.66091954022989,5,2,30,100,0.248868778280543,"rand"
"310",2.53846153846154,2.64705882352941,2.59310344827586,5,2,30,100,0.108597285067873,"rand"
"311",3.07692307692308,2.70588235294118,2.3264367816092,5,2,30,100,0.3710407239819,"rand"
"312",2.61538461538462,3.70588235294118,1.70229885057471,5,2,30,100,1.09049773755656,"rand"
"313",2.84615384615385,2.76470588235294,1.88965517241379,5,2,30,100,0.0814479638009051,"rand"
"314",2.61538461538462,2.88235294117647,2.18505747126437,5,2,30,100,0.266968325791855,"rand"
"315",2.84615384615385,3,1.99540229885057,5,2,30,100,0.153846153846154,"rand"
"316",2.76923076923077,3,1.9551724137931,5,2,30,100,0.230769230769231,"rand"
"317",2.92307692307692,2.76470588235294,2.21264367816092,5,2,30,100,0.158371040723982,"rand"
"318",3.30769230769231,2.76470588235294,2.20689655172414,5,2,30,100,0.542986425339366,"rand"
"319",3.38461538461538,3.23529411764706,2.07931034482759,5,2,30,100,0.149321266968326,"rand"
"320",3.15384615384615,3.29411764705882,2.32298850574713,5,2,30,100,0.14027149321267,"rand"
"321",3.07692307692308,2.88235294117647,2.44712643678161,5,2,30,100,0.194570135746607,"rand"
"322",2.84615384615385,3.76470588235294,1.8264367816092,5,2,30,100,0.918552036199095,"rand"
"323",3,3,2.20689655172414,5,2,30,100,0,"rand"
"324",3.07692307692308,2.17647058823529,1.84022988505747,5,2,30,100,0.900452488687783,"rand"
"325",3.23076923076923,3.41176470588235,2.22988505747126,5,2,30,100,0.180995475113122,"rand"
"326",3.30769230769231,2.52941176470588,1.84367816091954,5,2,30,100,0.778280542986425,"rand"
"327",2.53846153846154,3.11764705882353,1.91264367816092,5,2,30,100,0.579185520361991,"rand"
"328",2.53846153846154,3.11764705882353,1.77471264367816,5,2,30,100,0.579185520361991,"rand"
"329",3.23076923076923,2.58823529411765,2.11954022988506,5,2,30,100,0.642533936651584,"rand"
"330",3,3.11764705882353,2.13333333333333,5,2,30,100,0.117647058823529,"rand"
"331",3.61538461538462,2.88235294117647,2.09655172413793,5,2,30,100,0.733031674208145,"rand"
"332",3.07692307692308,2.76470588235294,2.16206896551724,5,2,30,100,0.312217194570136,"rand"
