"","tb_check","tb_ryan_core","tb_ryan_fund","nk_check","nk_ryan_core","nk_ryan_fund","mw_check","mw_ryan_core","mw_ryan_fund","age","race","gender","educ","empl","inc","pid","ideol","interest","official","interest.text","official.text","inc.text","educ.text","pid_follow","ideol_follow","tb","nk","mw","tb_supp","nk_supp","mw_supp","media","part","tb_rand_order","nk_rand_order","mw_rand_order"
"15",0,"4","4",0,"2","2",0,"4","4","32","White","Female","5","Employed full time outside of the home","2","Democrat","Liberal","4",0,"Most of the time","No","$20,000 to $39,999","Bachelor's degree","Strong","Very liberal","C","C","C",2,4,4,"2","1","core|fund|check","core|check|fund","core|fund|check"
"16",1,"5","5",0,"3","3",1,"5","5","50","White","Female","6","Employed full time outside of the home","6","Democrat","Liberal","4",1,"Most of the time","Yes","$100,000 to $149,999","Master's degree","Strong","Somewhat liberal","C","P_Supp","M_Supp",1,1,4,"3","4","core|fund|check","fund|core|check","fund|check|core"
"17",0,"3","3",0,"2","2",0,"5","5","49","White","Male","2","Employed full time outside of the home","2","Democrat","Liberal","4",0,"Most of the time","No","$20,000 to $39,999","High School / GED","Not very strong","Somewhat liberal","P_Supp","P_Opp","C",5,1,5,"2","2","check|fund|core","core|fund|check","fund|core|check"
"18",0,"3","2",1,"2","4",0,"2","2","33","White","Male","5","Employed full time outside of the home","1","Democrat","Liberal","2",0,"Only now and then","No","Less than $20,000","Bachelor's degree","Not very strong","Somewhat liberal","P_Opp","M_Supp","C",4,4,4,"1","1","check|fund|core","check|core|fund","check|fund|core"
"19",0,"4","4",0,"4","5",1,"3","3","35","White","Male","3","Employed full time outside of the home","3","Republican","Conservative","4",1,"Most of the time","Yes","$40,000 to $59,999","Some college work","Strong","Very conservative","M_Supp","C","P_Opp",5,5,3,"4","1","check|core|fund","fund|core|check","fund|core|check"
"20",0,"4","4",0,"4","3",0,"4","4","41","White","Female","2","Employed full time outside of the home","4","Independent","Conservative","4",1,"Most of the time","Yes","$60,000 to $79,999","High School / GED","Closer to the Republican Party","Somewhat conservative","M_Opp","M_Supp","P_Opp",5,3,5,"2","1","core|fund|check","core|check|fund","core|check|fund"
"21",1,"4","4",0,"4","3",0,"4","3","34","Black or African-American","Female","5","Employed part time outside of the home","3","Democrat","Liberal","3",0,"Some of the time","No","$40,000 to $59,999","Bachelor's degree","Not very strong","Somewhat liberal","P_Opp","C","P_Supp",2,4,5,"2","1","core|check|fund","check|fund|core","check|core|fund"
"22",0,"4","4",0,"4","2",1,"5","5","28","White","Female","5","Employed full time outside of the home","4","Democrat","Liberal","4",1,"Most of the time","Yes","$60,000 to $79,999","Bachelor's degree","Not very strong","Very liberal","P_Supp","P_Opp","M_Supp",2,2,5,"1","1","core|check|fund","core|fund|check","fund|core|check"
"23",1,"5","5",0,"5","5",0,"5","5","45","White","Male","3","Employed part time outside of the home","3","Democrat","Liberal","4",0,"Most of the time","No","$40,000 to $59,999","Some college work","Strong","Very liberal","M_Supp","P_Opp","P_Supp",1,5,5,"1","1","core|fund|check","check|fund|core","fund|core|check"
"24",1,"3","3",0,"3","3",0,"3","4","33","White","Female","7","Employed part time outside of the home","6","Republican","Conservative","4",1,"Most of the time","Yes","$100,000 to $149,999","Professional degree (PhD, JD, MD)","Strong","Very conservative","P_Supp","P_Supp","M_Supp",4,4,1,"1","1","core|fund|check","core|fund|check","check|core|fund"
"25",0,"3","2",0,"3","4",0,"2","3","48","White","Male","5","Employed full time outside of the home","6","Republican","Conservative","3",1,"Some of the time","Yes","$100,000 to $149,999","Bachelor's degree","Not very strong","Somewhat conservative","P_Opp","C","M_Opp",5,5,1,"2","1","core|fund|check","fund|core|check","check|fund|core"
"26",1,"5","5",1,"5","5",1,"1","1","35","White","Male","6","Employed full time outside of the home","2","Republican","Conservative","1",0,"Hardly at all","No","$20,000 to $39,999","Master's degree","Strong","Very conservative","M_Opp","M_Supp","M_Supp",5,5,1,"1","1","fund|check|core","core|fund|check","check|fund|core"
"27",0,"5","5",0,"3","3",1,"5","5","30","Hispanic","Female","3","Employed full time outside of the home","3","Democrat","Liberal","4",1,"Most of the time","Yes","$40,000 to $59,999","Some college work","Strong","Very liberal","P_Opp","M_Opp","M_Supp",1,2,5,"1","1","core|check|fund","check|core|fund","fund|core|check"
"28",0,"4","4",0,"3","3",0,"4","3","45","White","Female","5","Employed full time outside of the home","2","Independent","Neither","2",0,"Only now and then","No","$20,000 to $39,999","Bachelor's degree","Closer to the Democratic Party","Closer to liberals","M_Opp","M_Opp","C",1,4,5,"1","1","fund|check|core","core|fund|check","core|fund|check"
"29",0,"5","5",1,"4","4",0,"3","4","58","White","Female","3","Employed full time outside of the home","4","Independent","Liberal","4",0,"Most of the time","No","$60,000 to $79,999","Some college work","Closer to the Democratic Party","Somewhat liberal","P_Opp","P_Opp","M_Opp",1,2,5,"3","1","fund|check|core","core|fund|check","check|core|fund"
"30",0,"2","3",0,"4","4",0,"3","3","30","White","Male","3","Employed full time outside of the home","1","Republican","Conservative","3",0,"Some of the time","No","Less than $20,000","Some college work","Not very strong","Somewhat conservative","P_Supp","P_Supp","M_Supp",5,5,5,"1","1","check|core|fund","fund|core|check","core|check|fund"
"31",0,"3","3",0,"2","2",0,"5","5","46","White","Male","5","Unemployed","1","Democrat","Liberal","4",0,"Most of the time","No","Less than $20,000","Bachelor's degree","Strong","Very liberal","P_Supp","C","P_Opp",1,3,5,"2","1","fund|core|check","core|check|fund","fund|check|core"
"32",1,"5","4",1,"4","4",1,"3","4","30","White","Male","6","Employed full time outside of the home","5","Republican","Conservative","3",1,"Some of the time","Yes","$80,000 to $99,999","Master's degree","Strong","Somewhat conservative","M_Supp","P_Opp","P_Supp",3,3,3,"2","1","core|fund|check","core|check|fund","fund|core|check"
"33",1,"4","5",1,"4","4",1,"5","5","59","White","Female","5","Employed part time outside of the home","2","Democrat","Liberal","4",1,"Most of the time","Yes","$20,000 to $39,999","Bachelor's degree","Not very strong","Somewhat liberal","M_Supp","M_Opp","M_Supp",1,1,5,"3","2","core|fund|check","fund|core|check","fund|check|core"
"34",0,"3","3",0,"2","2",0,"2","2","24","White","Male","5","Employed full time outside of the home","4","Republican","Conservative","4",0,"Most of the time","No","$60,000 to $79,999","Bachelor's degree","Not very strong","Somewhat conservative","C","M_Supp","C",4,3,3,"3","2","fund|core|check","fund|core|check","fund|core|check"
"35",1,"5","5",1,"4","4",0,"4","3","55","White","Female","6","Employed full time outside of the home","3","Democrat","Liberal","4",1,"Most of the time","Yes","$40,000 to $59,999","Master's degree","Strong","Very liberal","C","C","C",5,5,5,"1","1","check|fund|core","check|fund|core","core|fund|check"
"36",1,"2","2",0,"4","5",1,"2","4","58","White","Male","2","Employed full time outside of the home","1","Independent","Conservative","4",0,"Most of the time","No","Less than $20,000","High School / GED","Closer to the Republican Party","Somewhat conservative","C","M_Supp","M_Opp",5,5,4,"1","1","fund|core|check","core|check|fund","fund|core|check"
"37",0,"4","4",0,"4","4",1,"5","5","62","White","Male","3","Retired","1","Independent","Conservative","3",0,"Some of the time","No","Less than $20,000","Some college work","Neither","Somewhat conservative","P_Opp","M_Opp","P_Opp",2,4,4,"2","1","fund|check|core","core|fund|check","core|check|fund"
"38",0,"3","4",0,"4","5",0,"4","4","43","White","Male","4","Employed full time outside of the home","5","Republican","Conservative","4",0,"Most of the time","No","$80,000 to $99,999","Associate degree","Not very strong","Somewhat conservative","P_Opp","P_Supp","C",4,2,2,"1","1","check|fund|core","core|fund|check","core|check|fund"
"39",0,"4","4",0,"3","4",1,"3","3","60","White","Female","4","Employed full time outside of the home","6","Republican","Conservative","4",0,"Most of the time","No","$100,000 to $149,999","Associate degree","Strong","Somewhat conservative","C","P_Supp","P_Supp",5,4,3,"2","1","fund|core|check","core|check|fund","check|fund|core"
"40",0,"5","3",0,"4","5",0,"5","5","32","Black or African-American","Female","5","Employed part time outside of the home","3","Democrat","Liberal","3",0,"Some of the time","No","$40,000 to $59,999","Bachelor's degree","Strong","Very liberal","P_Opp","C","M_Opp",2,1,5,"2","2","check|core|fund","core|check|fund","core|check|fund"
"41",0,"3","4",0,"3","3",1,"4","4","24","White","Male","5","Employed part time outside of the home","2","Democrat","Liberal","4",0,"Most of the time","No","$20,000 to $39,999","Bachelor's degree","Strong","Very liberal","M_Supp","C","M_Opp",1,1,5,"3","3","check|core|fund","fund|core|check","fund|check|core"
"42",0,"1","1",1,"2","2",0,"1","1","27","White","Female","4","Unemployed","1","Independent","Neither","3",0,"Some of the time","No","Less than $20,000","Associate degree","Neither","Neither","C","M_Opp","C",5,3,4,"1","1","check|fund|core","core|check|fund","check|core|fund"
"43",0,"3","3",0,"2","2",0,"3","4","26","White","Female","5","Unemployed","1","Democrat","Liberal","3",0,"Some of the time","No","Less than $20,000","Bachelor's degree","Not very strong","Somewhat liberal","P_Opp","P_Supp","P_Supp",2,2,3,"2","1","fund|check|core","check|core|fund","core|fund|check"
"44",0,"3","3",0,"3","2",0,"2","3","25","White","Male","3","Student","1","Republican","Conservative","2",0,"Only now and then","No","Less than $20,000","Some college work","Not very strong","Somewhat conservative","P_Supp","M_Supp","P_Opp",2,2,2,"1","1","check|core|fund","core|check|fund","check|core|fund"
"45",1,"3","4",0,"3","3",0,"3","3","22","Asian","Male","3","Student","6","Democrat","Liberal","3",0,"Some of the time","No","$100,000 to $149,999","Some college work","Not very strong","Very liberal","C","P_Supp","M_Supp",1,3,5,"1","1","core|fund|check","fund|check|core","fund|core|check"
"46",0,"3","3",0,"3","3",1,"4","4","48","White","Female","6","Employed full time outside of the home","6","Republican","Conservative","4",1,"Most of the time","Yes","$100,000 to $149,999","Master's degree","Strong","Very conservative","P_Supp","C","C",4,4,2,"2","1","check|core|fund","core|fund|check","check|core|fund"
"47",0,"3","4",1,"4","4",0,"3","3","49","White","Male","6","Employed part time outside of the home","4","Independent","Liberal","4",1,"Most of the time","Yes","$60,000 to $79,999","Master's degree","Closer to the Democratic Party","Somewhat liberal","P_Opp","C","C",2,5,4,"3","1","fund|check|core","fund|core|check","fund|check|core"
"48",0,"3","3",0,"4","3",0,"4","4","37","White","Female","5","Employed full time outside of the home","2","Independent","Neither","3",1,"Some of the time","Yes","$20,000 to $39,999","Bachelor's degree","Neither","Neither","C","C","C",2,3,4,"1","4","core|check|fund","check|fund|core","fund|core|check"
"49",0,"2","2",1,"1","2",0,"3","3","27","White","Male","2","Employed full time outside of the home","1","Democrat","Liberal","4",0,"Most of the time","No","Less than $20,000","High School / GED","Strong","Very liberal","P_Opp","P_Opp","C",2,4,5,"2","1","check|core|fund","core|fund|check","core|fund|check"
"50",1,"4","4",1,"5","5",0,"5","5","60","White","Male","5","Retired","1","Something else","Liberal","4",1,"Most of the time","Yes","Less than $20,000","Bachelor's degree",NA,"Very liberal","M_Opp","P_Opp","M_Supp",1,1,5,"2","1","core|check|fund","fund|check|core","fund|check|core"
"51",1,"4","4",1,"4","3",0,"4","4","33","White","Male","5","Employed full time outside of the home","4","Democrat","Liberal","3",0,"Some of the time","No","$60,000 to $79,999","Bachelor's degree","Strong","Somewhat liberal","M_Supp","P_Supp","M_Supp",2,2,5,"2","2","core|fund|check","fund|core|check","fund|check|core"
"52",0,"5","5",1,"3","3",1,"4","5","68","Other","Female","3","Retired","5","Democrat","Liberal","4",0,"Most of the time","No","$80,000 to $99,999","Some college work","Strong","Somewhat liberal","M_Opp","P_Supp","C",1,5,5,"2","2","check|core|fund","fund|core|check","check|fund|core"
"53",0,"5","5",0,"5","5",0,"5","5","40","Black or African-American","Female","5","Employed full time outside of the home","6","Democrat","Liberal","2",0,"Only now and then","No","$100,000 to $149,999","Bachelor's degree","Not very strong","Very liberal","M_Supp","P_Opp","P_Opp",1,5,5,"2","1","check|fund|core","core|check|fund","check|core|fund"
"54",0,"4","4",0,"3","3",0,"4","4","54","White","Male","5","Employed full time outside of the home","4","Independent","Neither","3",1,"Some of the time","Yes","$60,000 to $79,999","Bachelor's degree","Neither","Neither","C","M_Opp","C",5,3,1,"1","1","core|check|fund","core|check|fund","core|fund|check"
"55",1,"4","4",0,"4","4",1,"5","5","29","Hispanic","Male","3","Unemployed","2","Democrat","Liberal","3",0,"Some of the time","No","$20,000 to $39,999","Some college work","Strong","Very liberal","C","M_Opp","M_Opp",2,2,5,"2","1","fund|check|core","check|core|fund","check|fund|core"
"56",1,"5","5",1,"2","3",0,"2","4","55","White","Female","3","Retired","3","Independent","Neither","4",1,"Most of the time","Yes","$40,000 to $59,999","Some college work","Closer to the Democratic Party","Closer to liberals","M_Opp","C","M_Supp",1,2,5,"2","2","core|check|fund","check|core|fund","core|check|fund"
"57",0,"2","2",0,"4","3",0,"5","5","32","White","Male","2","Employed part time outside of the home","2","Democrat","Neither","4",0,"Most of the time","No","$20,000 to $39,999","High School / GED","Strong","Closer to conservatives","P_Opp","P_Supp","P_Supp",5,1,5,"2","1","fund|check|core","core|check|fund","check|core|fund"
"58",0,"4","4",0,"5","5",1,"4","4","47","White","Male","5","Employed full time outside of the home","6","Republican","Conservative","4",0,"Most of the time","No","$100,000 to $149,999","Bachelor's degree","Not very strong","Somewhat conservative","P_Opp","P_Supp","C",5,5,2,"3","1","fund|check|core","fund|core|check","fund|check|core"
"59",0,"2","2",0,"2","2",1,"5","5","59","White","Female","3","Employed full time outside of the home","4","Democrat","Neither","3",1,"Some of the time","Yes","$60,000 to $79,999","Some college work","Not very strong","Closer to liberals","P_Supp","M_Opp","M_Opp",5,3,5,"1","1","check|core|fund","core|check|fund","fund|check|core"
"60",0,"5","5",0,"5","5",0,"5","5","56","White","Male","4","Employed part time outside of the home","2","Democrat","Liberal","4",0,"Most of the time","No","$20,000 to $39,999","Associate degree","Strong","Very liberal","M_Supp","P_Supp","P_Opp",1,1,5,"3","2","core|check|fund","core|check|fund","core|check|fund"
"61",1,"3","3",0,"4","2",0,"3","3","21","White","Male","3","Student","1","Republican","Conservative","3",0,"Some of the time","No","Less than $20,000","Some college work","Not very strong","Somewhat conservative","P_Opp","P_Opp","M_Opp",4,4,2,"1","1","check|fund|core","core|fund|check","core|fund|check"
"62",1,"5","5",0,"3","5",1,"5","5","32","White","Female","5","Employed full time outside of the home","5","Democrat","Liberal","4",0,"Most of the time","No","$80,000 to $99,999","Bachelor's degree","Strong","Somewhat liberal","P_Supp","M_Opp","M_Opp",1,2,5,"2","3","check|core|fund","core|check|fund","core|fund|check"
"63",0,"5","4",1,"4","4",0,"5","5","25","White","Female","5","Employed full time outside of the home","3","Democrat","Liberal","4",1,"Most of the time","Yes","$40,000 to $59,999","Bachelor's degree","Strong","Very liberal","P_Supp","M_Opp","C",1,1,5,"1","1","fund|core|check","check|fund|core","fund|core|check"
"64",1,"4","4",0,"5","5",0,"4","4","35","White","Female","3","Unemployed","1","Democrat","Liberal","4",0,"Most of the time","No","Less than $20,000","Some college work","Strong","Very liberal","M_Supp","M_Supp","P_Supp",2,1,4,"1","1","check|core|fund","check|fund|core","check|core|fund"
"65",1,"4","4",0,"2","3",0,"5","5","21","Black or African-American","Female","3","Employed full time outside of the home","3","Democrat","Liberal","3",0,"Some of the time","No","$40,000 to $59,999","Some college work","Strong","Somewhat liberal","M_Opp","P_Supp","P_Supp",1,4,5,"4","1","fund|check|core","core|check|fund","fund|core|check"
"66",0,"3","3",1,"2","3",0,"3","3","32","White","Female","6","Employed full time outside of the home","6","Democrat","Liberal","4",0,"Most of the time","No","$100,000 to $149,999","Master's degree","Strong","Somewhat liberal","P_Opp","M_Opp","P_Supp",2,2,4,"1","1","fund|core|check","core|fund|check","core|fund|check"
"67",1,"2","2",0,"2","2",1,"2","2","46","White","Male","7","Unemployed","3","Independent","Conservative","4",0,"Most of the time","No","$40,000 to $59,999","Professional degree (PhD, JD, MD)","Closer to the Republican Party","Somewhat conservative","M_Opp","P_Supp","M_Opp",4,3,2,"3","1","check|core|fund","core|fund|check","fund|core|check"
"68",1,"4","3",0,"2","2",1,"4","3","22","Hispanic","Male","3","Unemployed","1","Democrat","Conservative","2",0,"Only now and then","No","Less than $20,000","Some college work","Not very strong","Very conservative","M_Supp","P_Opp","C",1,3,4,"1","1","fund|core|check","fund|check|core","core|check|fund"
"69",0,"4","4",0,"2","2",0,"3","3","29","White","Male","3","Employed full time outside of the home","2","Something else","Neither","3",0,"Some of the time","No","$20,000 to $39,999","Some college work",NA,"Neither","M_Opp","P_Supp","P_Opp",1,2,2,"2","1","fund|core|check","check|fund|core","fund|core|check"
"70",1,"2","2",0,"2","2",1,"3","4","25","Black or African-American","Male","3","Unemployed","1","Independent","Neither","2",0,"Only now and then","No","Less than $20,000","Some college work","Closer to the Democratic Party","Neither","M_Supp","M_Supp","M_Opp",2,3,5,"1","1","core|fund|check","check|core|fund","check|core|fund"
"71",0,"3","4",0,"4","3",1,"5","5","69","White","Male","7","Retired","1","Democrat","Liberal","4",1,"Most of the time","Yes","Less than $20,000","Professional degree (PhD, JD, MD)","Strong","Very liberal","P_Opp","M_Opp","P_Supp",1,1,5,"1","1","check|core|fund","fund|core|check","check|fund|core"
"72",0,"4","5",0,"4","4",0,"3","3","22","White","Female","3","Student","1","Democrat","Liberal","3",0,"Some of the time","No","Less than $20,000","Some college work","Not very strong","Somewhat liberal","P_Supp","P_Supp","P_Supp",1,2,2,"2","1","check|core|fund","core|check|fund","check|core|fund"
"73",0,"4","4",0,"4","4",0,"5","5","50","White","Female","2","Unemployed","3","Republican","Conservative","3",0,"Some of the time","No","$40,000 to $59,999","High School / GED","Not very strong","Somewhat conservative","P_Supp","M_Opp","M_Supp",3,3,5,"1","1","fund|core|check","fund|check|core","check|fund|core"
"74",1,"5","5",1,"5","5",1,"5","5","48","White","Male","3","Employed full time outside of the home","1","Something else","Neither","4",0,"Most of the time","No","Less than $20,000","Some college work",NA,"Neither","M_Opp","P_Supp","P_Supp",5,3,1,"2","1","core|fund|check","check|fund|core","core|fund|check"
"75",1,"3","3",0,"3","3",0,"2","2","53","White","Female","2","Unemployed","2","Republican","Conservative","3",0,"Some of the time","No","$20,000 to $39,999","High School / GED","Not very strong","Somewhat conservative","C","P_Opp","C",4,3,2,"1","1","check|fund|core","check|fund|core","core|fund|check"
"76",1,"5","5",1,"1","1",0,"1","1","33","White","Female","6","Employed full time outside of the home","5","Democrat","Liberal","4",0,"Most of the time","No","$80,000 to $99,999","Master's degree","Not very strong","Somewhat liberal","M_Opp","P_Supp","M_Opp",1,2,2,"3","1","fund|check|core","fund|check|core","core|check|fund"
"77",1,"3","2",1,"3","3",0,"4","4","26","White","Female","2","Employed part time outside of the home","5","Democrat","Neither","3",1,"Some of the time","Yes","$80,000 to $99,999","High School / GED","Not very strong","Closer to liberals","C","C","M_Supp",2,2,5,"1","2","core|check|fund","check|core|fund","fund|core|check"
"78",1,"4","4",0,"4","4",1,"5","5","55","White","Female","7","Unemployed","1","Independent","Liberal","3",1,"Some of the time","Yes","Less than $20,000","Professional degree (PhD, JD, MD)","Closer to the Democratic Party","Very liberal","P_Supp","P_Opp","C",1,1,5,"1","1","check|core|fund","check|fund|core","core|fund|check"
"79",0,"2","2",0,"3","2",0,"4","4","24","White","Female","2","Unemployed","2","Independent","Liberal","3",0,"Some of the time","No","$20,000 to $39,999","High School / GED","Neither","Somewhat liberal","P_Opp","C","P_Opp",4,3,5,"2","1","fund|core|check","core|check|fund","fund|core|check"
"80",0,"5","5",0,"5","5",0,"3","3","43","White","Male","3","Employed full time outside of the home","2","Republican","Conservative","4",0,"Most of the time","No","$20,000 to $39,999","Some college work","Not very strong","Somewhat conservative","P_Supp","P_Supp","M_Supp",4,5,2,"4","1","check|core|fund","check|core|fund","core|check|fund"
"81",1,"5","5",1,"3","3",1,"5","5","53","Black or African-American","Female","6","Unemployed","2","Independent","Neither","3",0,"Some of the time","No","$20,000 to $39,999","Master's degree","Neither","Neither","M_Opp","C","P_Opp",1,3,5,"1","1","fund|core|check","core|check|fund","fund|core|check"
"82",0,"4","4",0,"2","5",0,"3","5","47","White","Male","3","Employed full time outside of the home","2","Democrat","Liberal","4",1,"Most of the time","Yes","$20,000 to $39,999","Some college work","Strong","Somewhat liberal","P_Opp","P_Opp","P_Opp",1,5,5,"2","1","check|fund|core","check|core|fund","core|check|fund"
"83",1,"4","4",0,"1","2",0,"1","1","54","White","Female","3","Employed part time outside of the home","1","Democrat","Liberal","4",0,"Most of the time","No","Less than $20,000","Some college work","Strong","Somewhat liberal","P_Supp","M_Supp","M_Supp",2,4,3,"2","1","fund|check|core","core|check|fund","fund|core|check"
"84",0,"3","3",1,"3","4",1,"3","3","27","White","Male","1","Unemployed","1","Something else","Neither","2",0,"Only now and then","No","Less than $20,000","Less than High School",NA,"Neither","M_Supp","C","M_Supp",2,4,2,"2","1","fund|check|core","core|check|fund","check|fund|core"
"85",1,"3","4",1,"4","4",0,"4","4","23","Asian","Female","4","Unemployed","1","Independent","Neither","3",1,"Some of the time","Yes","Less than $20,000","Associate degree","Neither","Neither","C","C","M_Opp",2,4,4,"1","1","check|core|fund","fund|check|core","core|check|fund"
"86",0,"3","2",0,"2","2",0,"4","4","44","White","Female","5","Employed part time outside of the home","4","Independent","Liberal","4",0,"Most of the time","No","$60,000 to $79,999","Bachelor's degree","Closer to the Democratic Party","Somewhat liberal","P_Supp","M_Supp","C",2,2,2,"3","1","check|core|fund","core|check|fund","fund|core|check"
"87",0,"4","4",0,"3","4",0,"4","4","34","White","Female","5","Employed full time outside of the home","3","Independent","Liberal","3",0,"Some of the time","No","$40,000 to $59,999","Bachelor's degree","Closer to the Democratic Party","Somewhat liberal","P_Opp","P_Opp","P_Supp",2,4,5,"2","1","check|core|fund","fund|check|core","core|fund|check"
"88",0,"3","3",0,"3","3",0,"4","4","34","Asian","Female","5","Employed full time outside of the home","2","Independent","Neither","3",0,"Some of the time","No","$20,000 to $39,999","Bachelor's degree","Closer to the Republican Party","Closer to conservatives","P_Opp","M_Opp","M_Opp",4,2,5,"1","1","core|check|fund","core|fund|check","check|fund|core"
"89",0,"3","2",0,"2","3",0,"4","3","27","Black or African-American","Female","2","Employed full time outside of the home","1","Democrat","Conservative","3",0,"Some of the time","No","Less than $20,000","High School / GED","Not very strong","Somewhat conservative","M_Supp","M_Supp","P_Supp",3,3,3,"2","1","core|check|fund","fund|check|core","check|fund|core"
"90",0,"1","1",0,"1","1",0,"1","1","43","White","Male","5","Employed full time outside of the home","3","Republican","Conservative","2",0,"Only now and then","No","$40,000 to $59,999","Bachelor's degree","Not very strong","Very conservative","P_Supp","P_Supp","P_Supp",5,4,1,"1","1","check|fund|core","fund|check|core","core|check|fund"
"91",0,"4","5",1,"4","4",0,"3","3","34","White","Male","5","Employed full time outside of the home","2","Independent","Conservative","3",1,"Some of the time","Yes","$20,000 to $39,999","Bachelor's degree","Closer to the Republican Party","Somewhat conservative","M_Supp","M_Supp","P_Opp",5,2,4,"1","1","core|fund|check","check|core|fund","check|fund|core"
"92",1,"4","4",0,"3","3",0,"4","4","57","White","Female","5","Employed full time outside of the home","5","Independent","Conservative","4",1,"Most of the time","Yes","$80,000 to $99,999","Bachelor's degree","Closer to the Republican Party","Somewhat conservative","P_Opp","C","M_Supp",5,1,5,"1","1","check|fund|core","check|core|fund","core|check|fund"
"93",0,"2","2",0,"2","3",1,"3","2","58","White","Female","5","Retired","2","Democrat","Liberal","3",1,"Some of the time","Yes","$20,000 to $39,999","Bachelor's degree","Strong","Very liberal","M_Supp","M_Opp","M_Opp",2,1,4,"2","1","fund|core|check","fund|core|check","core|check|fund"
"94",0,"5","5",1,"5","5",1,"5","5","28","White","Male","5","Employed full time outside of the home","6","Republican","Conservative","2",0,"Only now and then","No","$100,000 to $149,999","Bachelor's degree","Strong","Very conservative","M_Opp","M_Supp","P_Opp",5,5,5,"4","4","fund|check|core","core|fund|check","core|check|fund"
"95",0,"3","4",0,"1","2",0,"1","1","35","White","Male","3","Employed part time outside of the home","1","Something else","Conservative","4",0,"Most of the time","No","Less than $20,000","Some college work",NA,"Somewhat conservative","C","P_Opp","M_Supp",5,2,1,"1","1","check|core|fund","fund|check|core","core|fund|check"
