"","control","treatment1","treatment2","treatment3","treatment4","variance","levels","groups","sampled_numbers","repeats","diff","label"
"84",NA,3,2.75,4,2,2.38095238095238,5,5,15,100,NA,"rand"
"85",NA,2,2.875,4,3.25,2.63809523809524,5,5,15,100,NA,"rand"
"86",NA,2,3.375,2,3.5,0.980952380952381,5,5,15,100,NA,"rand"
"87",NA,5,3.125,2,3.5,1.68571428571429,5,5,15,100,NA,"rand"
"88",NA,3.5,2.25,1,2.5,1.82857142857143,5,5,15,100,NA,"rand"
"89",NA,3,3,5,3,1.55238095238095,5,5,15,100,NA,"rand"
"90",NA,4,3.125,3,2.75,1.40952380952381,5,5,15,100,NA,"rand"
"91",NA,2,2.625,1,2,2.20952380952381,5,5,15,100,NA,"rand"
"92",NA,1,3.25,1,2.5,2.25714285714286,5,5,15,100,NA,"rand"
"93",NA,1.5,3,5,3,2.35238095238095,5,5,15,100,NA,"rand"
"94",NA,1,2.75,2,4.25,2.12380952380952,5,5,15,100,NA,"rand"
"95",NA,3,3.375,1,3.75,1.78095238095238,5,5,15,100,NA,"rand"
"96",NA,4.5,3.5,3,3.25,1.83809523809524,5,5,15,100,NA,"rand"
"97",NA,2,2.5,4,3.25,1.4952380952381,5,5,15,100,NA,"rand"
"98",NA,4,3.5,1,3,2.78095238095238,5,5,15,100,NA,"rand"
"99",NA,3.5,4.375,3,2.75,2.06666666666667,5,5,15,100,NA,"rand"
"100",NA,3.5,3,5,3,2.31428571428571,5,5,15,100,NA,"rand"
"101",4.66666666666667,4,2,3.63636363636364,2.5,1.92666666666667,5,5,25,100,2.66666666666667,"rand"
"102",2.33333333333333,2.8,2.75,2.54545454545455,4,1.71,5,5,25,100,1.66666666666667,"rand"
"103",2.33333333333333,2,3.25,3.63636363636364,3,1.95666666666667,5,5,25,100,1.63636363636364,"rand"
"104",3.66666666666667,3.4,2.75,2.18181818181818,3,1.94,5,5,25,100,1.48484848484848,"rand"
"105",2.66666666666667,3.4,3,3.18181818181818,3,1.86,5,5,25,100,0.733333333333333,"rand"
"106",3.33333333333333,4,2.75,2.36363636363636,4.5,2.29,5,5,25,100,2.13636363636364,"rand"
"107",3.66666666666667,2.4,2.75,2.54545454545455,4,1.25,5,5,25,100,1.6,"rand"
"108",2.33333333333333,4,3.5,3.27272727272727,3,1.47666666666667,5,5,25,100,1.66666666666667,"rand"
"109",3,3,3.25,3.18181818181818,1.5,2,5,5,25,100,1.75,"rand"
"110",4,2.4,3.5,3.36363636363636,1.5,1.94333333333333,5,5,25,100,2.5,"rand"
"111",3.33333333333333,3.8,3,2.45454545454545,2.5,1.99333333333333,5,5,25,100,1.34545454545455,"rand"
"112",1.66666666666667,2.2,2.75,3,3,2.49,5,5,25,100,1.33333333333333,"rand"
"113",3.33333333333333,2.8,3.25,2.54545454545455,3.5,2.11,5,5,25,100,0.954545454545455,"rand"
"114",3,3.4,2.25,3.36363636363636,3,1.86,5,5,25,100,1.15,"rand"
"115",3,2,3.5,3.27272727272727,1.5,2.11,5,5,25,100,2,"rand"
"116",2.66666666666667,2,3,3,4.5,2.19333333333333,5,5,25,100,2.5,"rand"
"117",2,3.4,3.75,2.54545454545455,3.5,1.91,5,5,25,100,1.75,"rand"
"118",3,2.4,2.75,2.72727272727273,4.5,2.14,5,5,25,100,2.1,"rand"
"119",4,2.8,2.5,3,2,2.07666666666667,5,5,25,100,2,"rand"
"120",3,2.2,3,3.36363636363636,3.5,2.29,5,5,25,100,1.3,"rand"
"121",3,2.4,1.75,2.45454545454545,3.5,1.67666666666667,5,5,25,100,1.75,"rand"
"122",4.66666666666667,3.2,2.25,3.45454545454545,4.5,2.50666666666667,5,5,25,100,2.41666666666667,"rand"
"123",2.66666666666667,4.4,2.25,3.54545454545455,2.5,1.56,5,5,25,100,2.15,"rand"
"124",3.33333333333333,2.4,3,3.45454545454545,3,2.52666666666667,5,5,25,100,1.05454545454545,"rand"
"125",2.33333333333333,2,4.25,3.45454545454545,2,2.62333333333333,5,5,25,100,2.25,"rand"
"126",2.66666666666667,3.4,2.75,3.36363636363636,3,1.89,5,5,25,100,0.733333333333333,"rand"
"127",2.66666666666667,3.2,4,2.45454545454545,3.5,2.45666666666667,5,5,25,100,1.54545454545455,"rand"
"128",2.33333333333333,2.6,3.5,2.72727272727273,4,1.77666666666667,5,5,25,100,1.66666666666667,"rand"
"129",4.33333333333333,3.4,3.25,2.45454545454545,3,1.95666666666667,5,5,25,100,1.87878787878788,"rand"
"130",3.66666666666667,3.6,2,3.09090909090909,4.5,2.5,5,5,25,100,2.5,"rand"
"131",3.66666666666667,2.2,2.5,3.18181818181818,1.5,1.91666666666667,5,5,25,100,2.16666666666667,"rand"
"132",2,3,3.25,3.09090909090909,3,1.95666666666667,5,5,25,100,1.25,"rand"
"133",2.66666666666667,3.4,3.5,2.45454545454545,3.5,1.82666666666667,5,5,25,100,1.04545454545455,"rand"
"134",3,2.4,2.5,3,2.5,1.94,5,5,25,100,0.6,"rand"
"135",3.33333333333333,3.2,3,2.81818181818182,1.5,2.11,5,5,25,100,1.83333333333333,"rand"
"136",2.66666666666667,3.8,3,3.09090909090909,2.5,2.02666666666667,5,5,25,100,1.3,"rand"
"137",3.66666666666667,2.6,2.25,3.54545454545455,5,2.21,5,5,25,100,2.75,"rand"
"138",3,2.4,4,2.63636363636364,3.5,1.99333333333333,5,5,25,100,1.6,"rand"
"139",3,2,3.75,2.90909090909091,3,1.94333333333333,5,5,25,100,1.75,"rand"
"140",3,1.6,3.25,3.27272727272727,4,2.04,5,5,25,100,2.4,"rand"
"141",2,3.4,3,3.09090909090909,1.5,1.52666666666667,5,5,25,100,1.9,"rand"
"142",3.66666666666667,2.6,3.25,2.72727272727273,1.5,1.41666666666667,5,5,25,100,2.16666666666667,"rand"
"143",3.66666666666667,2.6,3.5,3.54545454545455,3,1.89333333333333,5,5,25,100,1.06666666666667,"rand"
"144",1.66666666666667,2.8,2,2.72727272727273,3.5,2.09,5,5,25,100,1.83333333333333,"rand"
"145",2,3,3,3.18181818181818,5,1.94333333333333,5,5,25,100,3,"rand"
"146",2.66666666666667,1.8,3.75,3.54545454545455,2,1.75,5,5,25,100,1.95,"rand"
"147",3.33333333333333,3.2,2.25,2.72727272727273,4,1.91,5,5,25,100,1.75,"rand"
"148",3.33333333333333,2,3,2.72727272727273,4,2.08333333333333,5,5,25,100,2,"rand"
"149",3.33333333333333,4.4,2.75,2.72727272727273,4.5,2.46,5,5,25,100,1.77272727272727,"rand"
"150",2,4,2,2.27272727272727,2,1.84333333333333,5,5,25,100,2,"rand"
"151",2,3.2,3.25,2.54545454545455,5,2.57666666666667,5,5,25,100,3,"rand"
"152",3.33333333333333,2.6,3.25,3.54545454545455,3.5,1.21,5,5,25,100,0.945454545454545,"rand"
"153",3,3,2.75,2.81818181818182,2.5,2.22333333333333,5,5,25,100,0.5,"rand"
"154",2.66666666666667,3.4,2.75,3,3,1.16666666666667,5,5,25,100,0.733333333333333,"rand"
"155",4.33333333333333,2,2,2,1.5,1.85666666666667,5,5,25,100,2.83333333333333,"rand"
"156",2.33333333333333,1.8,3.5,3.63636363636364,3,2.37333333333333,5,5,25,100,1.83636363636364,"rand"
"157",4.33333333333333,2.8,4,2.81818181818182,1.5,1.91,5,5,25,100,2.83333333333333,"rand"
"158",3.33333333333333,3.8,3.5,2.72727272727273,3,1.89,5,5,25,100,1.07272727272727,"rand"
"159",4,2.4,3.25,3,4,2.19333333333333,5,5,25,100,1.6,"rand"
"160",2.66666666666667,3.4,3.5,3.81818181818182,4.5,2.25,5,5,25,100,1.83333333333333,"rand"
"161",3.66666666666667,2.8,2.5,3.18181818181818,4,1.44333333333333,5,5,25,100,1.5,"rand"
"162",2.66666666666667,4,3.75,2.45454545454545,2,1.79,5,5,25,100,2,"rand"
"163",3.66666666666667,2.4,2.25,2.54545454545455,3.5,2.22666666666667,5,5,25,100,1.41666666666667,"rand"
"164",3.33333333333333,2.6,4.25,2.18181818181818,2.5,1.77333333333333,5,5,25,100,2.06818181818182,"rand"
"165",3.33333333333333,3.8,2.75,2.36363636363636,4,2.20666666666667,5,5,25,100,1.63636363636364,"rand"
"166",3,2,4.75,3.45454545454545,4.5,2.33333333333333,5,5,25,100,2.75,"rand"
"167",3.66666666666667,2.2,3.75,2.72727272727273,1.5,1.83333333333333,5,5,25,100,2.25,"rand"
"168",2.33333333333333,3.4,2.5,3.72727272727273,3,1.85666666666667,5,5,25,100,1.39393939393939,"rand"
"169",1.66666666666667,2.6,4,3,4.5,2.45666666666667,5,5,25,100,2.83333333333333,"rand"
"170",4.66666666666667,2.6,4,2.63636363636364,4.5,2.85666666666667,5,5,25,100,2.06666666666667,"rand"
"171",3,3,4.25,3.72727272727273,4,1.83333333333333,5,5,25,100,1.25,"rand"
"172",2,3.6,2,3.09090909090909,3.5,1.82666666666667,5,5,25,100,1.6,"rand"
"173",3.66666666666667,3,3,3.36363636363636,3,1.77333333333333,5,5,25,100,0.666666666666667,"rand"
"174",2.66666666666667,3.6,3.25,3.09090909090909,3.5,1.83333333333333,5,5,25,100,0.933333333333334,"rand"
"175",2,3.2,3.5,3.36363636363636,4.5,1.79333333333333,5,5,25,100,2.5,"rand"
"176",2.33333333333333,3.2,3.75,2.54545454545455,3.5,2.24333333333333,5,5,25,100,1.41666666666667,"rand"
"177",2.33333333333333,3.2,3.25,3.09090909090909,3.5,1.66,5,5,25,100,1.16666666666667,"rand"
"178",3.66666666666667,2.2,2.5,2.81818181818182,1.5,2.15666666666667,5,5,25,100,2.16666666666667,"rand"
"179",3,2.6,2.75,2.72727272727273,2,1.56,5,5,25,100,1,"rand"
"180",2.33333333333333,3.2,2.5,2.63636363636364,3,1.96,5,5,25,100,0.866666666666667,"rand"
"181",3,2.2,3,2.72727272727273,1,2.25666666666667,5,5,25,100,2,"rand"
"182",3.33333333333333,4,2.25,3.45454545454545,2,1.77333333333333,5,5,25,100,2,"rand"
"183",2.66666666666667,4,3,3,3.5,2.66666666666667,5,5,25,100,1.33333333333333,"rand"
"184",4,2.8,1.75,2.72727272727273,2.5,2.04333333333333,5,5,25,100,2.25,"rand"
"185",2.66666666666667,4,4.25,2.63636363636364,4.5,1.81,5,5,25,100,1.86363636363636,"rand"
"186",4,3.2,1.75,2.72727272727273,1,2.22666666666667,5,5,25,100,3,"rand"
"187",4,2.8,2.5,3.36363636363636,2,2.16,5,5,25,100,2,"rand"
"188",2.66666666666667,2.8,3.75,3.54545454545455,2,2.25,5,5,25,100,1.75,"rand"
"189",1.33333333333333,2.6,2.25,3,4,2.14333333333333,5,5,25,100,2.66666666666667,"rand"
"190",2.33333333333333,3.6,3.75,2.90909090909091,2.5,2.41,5,5,25,100,1.41666666666667,"rand"
"191",2.66666666666667,3.4,2.25,2.90909090909091,3,2.44333333333333,5,5,25,100,1.15,"rand"
"192",2,4,3.25,2.81818181818182,4,2.11,5,5,25,100,2,"rand"
"193",3,3,1.5,3.54545454545455,4,1.66,5,5,25,100,2.5,"rand"
"194",3,2.4,2.75,3,3,2.30666666666667,5,5,25,100,0.6,"rand"
"195",2.66666666666667,3.6,2.5,2.90909090909091,3,1.37333333333333,5,5,25,100,1.1,"rand"
"196",3,3,2.75,3.45454545454545,2,2.32666666666667,5,5,25,100,1.45454545454545,"rand"
"197",2.66666666666667,3.2,2.75,3.27272727272727,4,1.89,5,5,25,100,1.33333333333333,"rand"
"198",3,1.8,2,2.72727272727273,3.5,2.01,5,5,25,100,1.7,"rand"
"199",3,2.4,3,2.18181818181818,4.5,2.24,5,5,25,100,2.31818181818182,"rand"
"200",3,2.8,3.5,3.27272727272727,2.5,1.94333333333333,5,5,25,100,1,"rand"
"201",4.375,2.6,3.5,2.83333333333333,3.16666666666667,1.95294117647059,5,5,35,100,1.775,"rand"
"202",2.625,2.8,3,2.5,2.66666666666667,1.78487394957983,5,5,35,100,0.5,"rand"
"203",2.5,3.8,2.8,3.16666666666667,2.5,1.75126050420168,5,5,35,100,1.3,"rand"
"204",2.75,3,3.3,4,3.5,2.09243697478992,5,5,35,100,1.25,"rand"
"205",2.625,2,2.9,2.83333333333333,2.66666666666667,1.40840336134454,5,5,35,100,0.9,"rand"
"206",3.375,4.2,3.1,2.5,2.83333333333333,1.67563025210084,5,5,35,100,1.7,"rand"
"207",3.375,3.4,1.8,4,3.16666666666667,1.88235294117647,5,5,35,100,2.2,"rand"
"208",2.875,4.2,2.8,2.66666666666667,3.66666666666667,2.00840336134454,5,5,35,100,1.53333333333333,"rand"
"209",2.875,3.4,2.5,1.16666666666667,2.83333333333333,2.02016806722689,5,5,35,100,2.23333333333333,"rand"
"210",2.875,3,3.9,3.16666666666667,2.33333333333333,2.12605042016807,5,5,35,100,1.56666666666667,"rand"
"211",3.25,1.2,3.5,3.16666666666667,3.33333333333333,1.9109243697479,5,5,35,100,2.3,"rand"
"212",2.5,2.6,3.2,2.33333333333333,2.5,2.2218487394958,5,5,35,100,0.866666666666667,"rand"
"213",2.625,2.8,3.4,1.33333333333333,3.5,1.87058823529412,5,5,35,100,2.16666666666667,"rand"
"214",2.25,3.2,3.7,3.16666666666667,3.16666666666667,2.16302521008403,5,5,35,100,1.45,"rand"
"215",2.25,3.2,2.2,3.16666666666667,2.83333333333333,1.94621848739496,5,5,35,100,1,"rand"
"216",3.875,3.6,2.9,3.16666666666667,3,2.15126050420168,5,5,35,100,0.975,"rand"
"217",4,2,3.8,2.5,3.5,2.16302521008403,5,5,35,100,2,"rand"
"218",3,2.8,3.4,3.33333333333333,2.16666666666667,2.47058823529412,5,5,35,100,1.23333333333333,"rand"
"219",4.125,3,3.2,3.16666666666667,3.16666666666667,1.94621848739496,5,5,35,100,1.125,"rand"
"220",3.125,3.4,2.4,2.83333333333333,1.83333333333333,1.92773109243697,5,5,35,100,1.56666666666667,"rand"
"221",2.625,3.2,3.7,3.33333333333333,3,2.04705882352941,5,5,35,100,1.075,"rand"
"222",2.5,2.2,3,2.66666666666667,2.83333333333333,1.86890756302521,5,5,35,100,0.8,"rand"
"223",3.5,3.4,2.9,2,2.83333333333333,2.17310924369748,5,5,35,100,1.5,"rand"
"224",2.625,3.6,2.9,2.83333333333333,3.33333333333333,1.70588235294118,5,5,35,100,0.975,"rand"
"225",3.25,3.2,2.7,2.83333333333333,2.33333333333333,2.18487394957983,5,5,35,100,0.916666666666667,"rand"
"226",3.625,3.8,2.7,2.83333333333333,4,1.98655462184874,5,5,35,100,1.3,"rand"
"227",3.625,2.8,2.8,2.33333333333333,3.5,2.20504201680672,5,5,35,100,1.29166666666667,"rand"
"228",3.25,2.8,2.7,2.16666666666667,3,1.81176470588235,5,5,35,100,1.08333333333333,"rand"
"229",2,3.2,3.7,2.33333333333333,2.5,1.92941176470588,5,5,35,100,1.7,"rand"
"230",2.875,3,2.8,3.16666666666667,3,1.29075630252101,5,5,35,100,0.366666666666667,"rand"
"231",3.125,2.6,3.3,2.83333333333333,3.16666666666667,1.82016806722689,5,5,35,100,0.7,"rand"
"232",3.375,3,3.3,2.83333333333333,2.66666666666667,2.25714285714286,5,5,35,100,0.708333333333333,"rand"
"233",3.75,2.2,2.8,3.33333333333333,2.66666666666667,1.82352941176471,5,5,35,100,1.55,"rand"
"234",2.5,2.6,2.6,3.33333333333333,3,1.76974789915966,5,5,35,100,0.833333333333333,"rand"
"235",3.25,2.2,2.5,4.5,3.16666666666667,2.55126050420168,5,5,35,100,2.3,"rand"
"236",2.375,3.4,2.7,3.5,1.33333333333333,2.06386554621849,5,5,35,100,2.16666666666667,"rand"
"237",3.625,2.8,3.4,2.66666666666667,2.5,1.78655462184874,5,5,35,100,1.125,"rand"
"238",2.25,3.6,2.7,3,3.5,1.96302521008403,5,5,35,100,1.35,"rand"
"239",3.125,3,2.2,3.33333333333333,2.33333333333333,1.72605042016807,5,5,35,100,1.13333333333333,"rand"
"240",3.125,2.2,2.5,2.66666666666667,3.5,2.22352941176471,5,5,35,100,1.3,"rand"
"241",4,2.2,2.8,3.5,3.33333333333333,1.98823529411765,5,5,35,100,1.8,"rand"
"242",3.125,3.4,2.8,3,3.33333333333333,2.0218487394958,5,5,35,100,0.6,"rand"
"243",3.25,3.6,3.3,3.5,4.16666666666667,2.08067226890756,5,5,35,100,0.916666666666667,"rand"
"244",3.125,2.8,2.8,3.33333333333333,2.83333333333333,1.49915966386555,5,5,35,100,0.533333333333334,"rand"
"245",2.875,2.4,2.5,2.83333333333333,3.16666666666667,2.07899159663866,5,5,35,100,0.766666666666667,"rand"
"246",1.875,3.6,2.5,2.5,4.5,2.0672268907563,5,5,35,100,2.625,"rand"
"247",3.125,3.2,3.6,3,2.66666666666667,2.08739495798319,5,5,35,100,0.933333333333334,"rand"
"248",3.125,2.2,3.2,3,3,1.85210084033613,5,5,35,100,1,"rand"
"249",2.75,3.6,2.8,3.16666666666667,3.83333333333333,2.30252100840336,5,5,35,100,1.08333333333333,"rand"
"250",3.25,3.4,3.2,3.5,2.5,2.67563025210084,5,5,35,100,1,"rand"
"251",3.125,3.8,3.5,2.5,3.66666666666667,1.86890756302521,5,5,35,100,1.3,"rand"
"252",2.5,3,3.6,3.83333333333333,2.83333333333333,1.79327731092437,5,5,35,100,1.33333333333333,"rand"
"253",3.125,3.6,3,3.33333333333333,3.5,1.96134453781513,5,5,35,100,0.6,"rand"
"254",2.75,3.4,3.5,3.33333333333333,1.83333333333333,2,5,5,35,100,1.66666666666667,"rand"
"255",3,3.8,3.4,2.66666666666667,2.83333333333333,1.71428571428571,5,5,35,100,1.13333333333333,"rand"
"256",2.875,2,3.2,2.66666666666667,1.66666666666667,1.83529411764706,5,5,35,100,1.53333333333333,"rand"
"257",2.625,2.6,2.8,3,2.16666666666667,1.93781512605042,5,5,35,100,0.833333333333333,"rand"
"258",2.5,2.8,2.6,3.33333333333333,2.83333333333333,1.94621848739496,5,5,35,100,0.833333333333333,"rand"
"259",3.375,3,2.9,3.16666666666667,3.83333333333333,2.35798319327731,5,5,35,100,0.933333333333334,"rand"
"260",3.625,3.8,2.3,1.83333333333333,3,2.18487394957983,5,5,35,100,1.96666666666667,"rand"
"261",2.5,3.4,3.1,3.16666666666667,3.66666666666667,2.10420168067227,5,5,35,100,1.16666666666667,"rand"
"262",2.625,4.2,3.3,2.5,2.5,2.05882352941176,5,5,35,100,1.7,"rand"
"263",3.625,3.2,3.6,1.5,3,2.37478991596639,5,5,35,100,2.125,"rand"
"264",2.375,3.6,2.5,2.5,3.16666666666667,2.19663865546219,5,5,35,100,1.225,"rand"
"265",3.5,3.4,3,2.83333333333333,2.16666666666667,2.35294117647059,5,5,35,100,1.33333333333333,"rand"
"266",3.125,3.6,3.4,2.5,3,2.0672268907563,5,5,35,100,1.1,"rand"
"267",2.75,3,3,2.83333333333333,3.33333333333333,2.08739495798319,5,5,35,100,0.583333333333333,"rand"
"268",2.75,2.4,3.3,3.16666666666667,2.66666666666667,1.49243697478992,5,5,35,100,0.9,"rand"
"269",3.625,2.4,3.1,2.83333333333333,3.83333333333333,2.16470588235294,5,5,35,100,1.43333333333333,"rand"
"270",3.125,2.2,2.4,2.83333333333333,2.33333333333333,1.83529411764706,5,5,35,100,0.925,"rand"
"271",2.25,2.4,3.2,3.33333333333333,2.33333333333333,2.13781512605042,5,5,35,100,1.08333333333333,"rand"
"272",3.75,3,3,2.5,3.66666666666667,1.63529411764706,5,5,35,100,1.25,"rand"
"273",3,3,3.5,4.16666666666667,3.16666666666667,2.06386554621849,5,5,35,100,1.16666666666667,"rand"
"274",2.25,2.4,2.9,3,3,1.91596638655462,5,5,35,100,0.75,"rand"
"275",3.125,2.8,2.6,3.66666666666667,2.83333333333333,1.96974789915966,5,5,35,100,1.06666666666667,"rand"
"276",3.5,3,3.3,3,1.33333333333333,2.31596638655462,5,5,35,100,2.16666666666667,"rand"
"277",2.625,2.4,2.5,3.5,2.33333333333333,1.93781512605042,5,5,35,100,1.16666666666667,"rand"
"278",3.5,4,2.8,2.66666666666667,4.33333333333333,2.47563025210084,5,5,35,100,1.66666666666667,"rand"
"279",3.125,1.8,3.1,2.83333333333333,3.5,2.05546218487395,5,5,35,100,1.7,"rand"
"280",2.875,2.6,3.2,3.33333333333333,3.5,1.86890756302521,5,5,35,100,0.9,"rand"
"281",3.125,2.6,3.4,3.16666666666667,3.5,1.98823529411765,5,5,35,100,0.9,"rand"
"282",4.25,2.6,3.4,1.83333333333333,3.5,1.76974789915966,5,5,35,100,2.41666666666667,"rand"
"283",3.125,2.8,2.9,3.66666666666667,2.66666666666667,2.44033613445378,5,5,35,100,1,"rand"
"284",3.125,3.4,3.5,2.66666666666667,3.16666666666667,1.51764705882353,5,5,35,100,0.833333333333333,"rand"
"285",3.75,1.8,2.9,2.33333333333333,1.83333333333333,2.34957983193277,5,5,35,100,1.95,"rand"
